0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-1.8971536,-0.41630197,3.7988071,3.1466298,0.5887546,-1.6703434,3.2447355,-2.627801,-3.3015938,-0.9088664,1.7103093,2.0222673,-3.3691487,2.549748,2.1034615,3.0440338,0.88251495,-1.4263049,1.1651151,4.494946,0.011776492,1.5442353,-4.075291,-2.1446993,2.382476,-1.6587543,3.0854802,4.4182434,1.5471444,-0.6073444
-2.603356,-0.7676998,4.6283236,4.021228,0.40500236,-1.9244902,4.1981063,-3.192758,-3.7449043,-1.6011367,1.9180989,2.314764,-3.964426,2.8957496,2.4603207,3.9775043,0.8436482,-1.561804,0.9944118,5.537544,-0.13064682,1.6486616,-5.2428474,-2.2060022,2.8153474,-1.8995904,3.8351164,5.5874615,1.5626712,-0.999987
-1.3195965,-0.38897964,3.4296694,2.4417286,0.5760981,-1.4000524,2.5446372,-2.307981,-2.8390229,-0.5757227,1.3607864,1.7483757,-2.8052669,2.0910172,1.595101,2.5138702,0.624786,-0.9808977,1.0440962,3.7306738,0.16665381,1.4685603,-3.3685303,-1.941589,1.7297071,-1.5302486,2.6200893,3.7078052,1.4341495,-0.5516958
0.7959459,-1.3287864,1.6131997,1.2343633,1.6333245,-1.7359918,-0.8576896,-1.8057778,-0.70746124,0.047229163,1.4579986,0.5105243,-1.2739025,1.4348737,1.4254615,1.4348483,-1.7397635,-1.9952626,1.8455505,0.65284425,1.9184307,0.31819084,-0.90145624,2.3529215,1.3684378,-1.4247001,-0.010535665,0.08429323,0.29149896,1.3731554
1.0762634,-1.8582258,1.2823906,1.2791591,1.9689989,-2.2029436,0.07033157,-2.6798184,-0.6296937,-0.2403185,1.5810409,1.1597031,-1.7402998,1.484375,2.6415899,1.2017901,-1.9846387,-1.697448,2.6737585,0.19732817,2.2050655,0.8615874,-0.8723953,3.2315063,1.5889685,-1.2630324,-0.5460833,-0.22497061,0.45337954,1.9359608
-1.3574941,-0.45981258,3.5096219,2.6291203,0.9442833,-1.9554569,2.7949386,-2.7476318,-3.2350245,-0.7611539,2.2364583,2.2783504,-3.340692,2.4864526,2.2402706,2.2643597,0.6253973,-1.0642593,1.6666613,4.1992736,0.35662735,1.5877851,-3.6312985,-1.9909908,1.9045303,-1.7145103,2.9262319,4.0988812,1.9033335,-0.63732344
-1.7600024,-0.47066268,3.7316585,2.8880744,0.52351224,-1.6303389,3.198367,-2.614894,-3.0433068,-0.9653408,1.4252999,1.8486612,-3.1679974,2.4248736,1.9226638,2.9497619,0.7921307,-1.2222785,1.0701096,4.2105765,0.018258646,1.4176979,-3.899709,-1.9466037,2.208613,-1.4976846,2.8448427,4.1984215,1.4061451,-0.7346798
-1.215575,-0.5394994,2.7600842,2.247274,1.013339,-1.7106934,2.632116,-2.4884987,-2.922708,-0.3755615,2.3132477,2.3298917,-2.9638371,2.0905857,2.2169135,1.6333811,0.69073725,-0.5748376,1.4768008,3.9401145,0.33086848,1.4287481,-3.0694513,-1.9326327,1.5535146,-1.5051283,2.582893,3.8163724,2.028056,-0.4997937
1.5306033,-2.107927,1.0724039,2.046928,2.463151,-2.1859918,-4.3266907,-0.88613737,-1.7382758,4.048031,2.4557981,2.68401,-1.7752228,2.8983529,2.1182287,0.7761587,-0.8703161,-1.8047702,1.1933305,1.4639215,0.40642494,2.1379137,-3.0212307,-1.4141593,2.028566,-3.570325,1.6252367,2.4563496,3.2486892,2.6674767
1.2919598,-1.8524113,0.9221958,2.1195483,2.3424983,-2.0187378,-3.7462535,-1.2532552,-1.7054601,3.500393,2.4928255,2.5088077,-1.8867751,2.6203282,2.16462,0.688684,-1.0121242,-1.7376157,1.340122,1.3870335,0.79645026,2.024893,-2.559488,-0.98351276,2.0863729,-3.318079,1.4396136,2.2129421,2.7948437,2.8757374
1.3736429,-1.733377,0.8535723,1.750527,2.032168,-1.8571818,-3.4796276,-0.97519916,-1.6840879,3.2666519,2.1054175,2.4329653,-1.600575,2.4484143,1.938195,0.4454317,-0.65850866,-1.2803231,1.0764842,1.2414137,0.28369296,1.9555428,-2.4743118,-1.2797917,1.633426,-2.8442402,1.3766942,2.0459259,2.9612656,2.4771705
1.4952915,-2.2617636,1.0458975,2.2950277,2.746399,-2.5525482,-4.8673143,-1.3787696,-2.0118594,4.4627314,3.0233884,3.0392954,-2.2188876,3.2764904,2.5088382,0.59382176,-1.1933979,-2.0679936,1.1975517,1.8179808,0.68482107,2.3049083,-3.5087414,-1.3574178,2.4372334,-3.860012,1.751703,2.8906956,3.3537638,3.388361
0.9179232,-1.1015301,-0.053429104,0.98751724,1.1546447,-1.121025,-1.6195916,-1.4027426,-1.9689722,2.3286533,1.6914054,1.8598458,-1.597502,1.5324838,1.8288674,-0.2678219,-0.2483485,-0.23838033,1.145112,0.94738406,0.29487616,1.8319165,-1.4435151,-0.9349733,1.4339991,-1.77247,0.85132277,1.6368842,2.0327225,2.256382
1.685931,-0.93836975,2.6295154,0.6263565,1.8227822,-2.2464123,-2.071179,-0.82604784,-1.7823453,1.2572844,2.609322,2.631003,-1.5097656,1.8004745,1.2284117,0.51938814,-0.57191193,-0.34261623,2.4806266,1.650993,-0.3003785,1.5609802,-1.7644295,-1.1706891,-1.613899,-2.153769,2.239097,1.7702374,3.8417492,-0.7327099
1.2909045,-1.9682513,0.8360316,1.9007484,2.1970296,-1.8387786,-3.6790228,-1.0897062,-1.8010709,3.4968708,2.132159,2.3495011,-1.6947116,2.4226637,1.9578087,0.56826055,-0.8930551,-1.8278701,0.91115505,1.2919372,0.50391704,1.817926,-2.4758503,-1.0068599,2.0908198,-2.9675782,1.2634691,2.0198884,2.6485913,2.7125278
1.3348246,-1.9513417,0.8974469,1.9036548,2.1413717,-1.8636558,-3.7979717,-0.88294387,-1.5200622,3.4981868,2.220987,2.349038,-1.5701466,2.4805393,1.9976869,0.6756693,-0.8912041,-1.6182282,0.998095,1.1871961,0.38453615,1.8509452,-2.6204214,-1.1022712,1.9335271,-3.029584,1.457725,2.1531157,2.787793,2.5517511
