0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-3.0082521,1.2667714,-0.08507331,2.8428054,1.8087265,-2.087885,-5.179639,2.308927,3.5520706,4.0388737,-3.2917418,3.123023,4.179016,-2.6381438,-5.334823,2.6985037,1.8146393,-3.3884525,3.1801121,-4.740369
-2.729094,1.0658104,-0.023333952,2.4364877,1.3879122,-1.8164746,-4.724434,2.0833945,3.271859,3.6818578,-3.0245478,2.8638444,3.8252192,-2.4385395,-4.951542,2.459493,1.7109654,-3.278994,2.854281,-4.2591653
-2.7440357,1.3220305,0.039855316,2.556898,1.8875151,-2.2016673,-4.6131697,2.2962923,3.2481868,3.464841,-2.9400408,3.1692533,3.9036064,-2.3645704,-4.5335937,2.257587,1.856322,-2.9211142,3.1683776,-4.09441
2.5923061,0.98624873,2.26322,5.29386,3.4221935,-3.3053026,-1.2113671,2.2547297,-1.6445119,1.662545,-3.8608642,3.382886,2.250962,-5.2528353,-0.53473383,-3.7422872,4.1848993,-1.6761899,3.3138301,-3.1179361
3.3591495,0.73569995,3.4499469,7.5816555,3.4146638,-4.709396,-0.7199461,3.0708299,-2.4847198,1.9875127,-5.263089,3.9771113,2.196904,-7.099521,-0.9757334,-6.045688,5.6412663,-2.815067,3.8854895,-3.3435
-1.9640973,0.81744796,0.22253726,2.4721198,1.5104644,-1.5439947,-3.7612996,2.0948186,2.6189532,2.8296757,-2.6872153,2.2790234,3.2149086,-2.289263,-3.8103428,1.7820518,1.5567106,-2.5709805,2.494398,-3.6687307
-2.9705095,1.3132372,-0.13215652,2.9103217,2.0020566,-2.2119389,-5.2122293,2.4933105,3.5767038,4.0066056,-3.2069182,3.2206783,4.30836,-2.598772,-5.244216,2.7942781,1.8708696,-3.2457814,3.3372076,-4.6301494
-1.8945814,0.5546421,0.6113161,1.4044901,0.295883,-0.96197957,-3.3381271,1.3415508,2.4627857,2.6388474,-2.4857318,1.8025601,2.5761194,-2.0178332,-3.6284726,1.404073,1.2071798,-2.7490168,1.7330816,-2.9582396
0.7591154,1.9053079,3.10528,-0.48234767,2.4112537,-1.2907751,-3.1839564,-4.4528284,0.068014875,3.399141,-0.95743686,3.0782084,-0.76508814,-1.699756,-1.2599679,-2.7974741,4.564198,-1.2523689,2.382896,-2.0068493
0.44408196,1.2106116,2.5450735,0.140062,1.4989367,-1.4751318,-2.2311862,-3.0343676,-0.153723,2.7046099,-1.0190083,2.4587097,-0.748734,-1.4498763,-1.2685115,-2.497006,3.5840335,-1.3998791,1.8727298,-1.1660311
0.22155653,1.3602324,2.5576468,0.03988777,1.6347431,-1.5076159,-2.4712133,-3.5913184,-0.14449476,2.938417,-1.0949967,2.5544686,-0.863595,-1.5491334,-1.2529426,-2.6233945,3.7953885,-1.5031551,1.7805324,-1.1876144
0.47098663,1.4832228,2.884069,0.11644021,2.0088968,-1.6506624,-2.7834172,-3.9448786,-0.308348,3.2533057,-1.0664759,2.928462,-0.80591005,-1.6500146,-1.4055421,-2.9498134,4.281073,-1.51085,2.0777845,-1.4063338
-0.23138145,0.6072526,2.100235,0.659492,0.744687,-1.6724262,-1.4789546,-1.7661328,-0.08129957,1.841903,-1.682518,2.6330729,-0.52982306,-1.4576591,-1.5482234,-2.7371492,2.7364764,-2.2557065,1.3322862,-0.23243266
1.1726885,2.033894,2.722191,-1.201981,1.335458,-0.18317702,-1.3927273,0.44902223,2.7011936,1.7274306,-2.5386708,2.780609,0.11486313,-1.9426126,-0.33449513,-1.4001181,2.4361184,0.06562771,3.019786,-1.3490384
0.5827695,1.3429139,2.7007208,-0.04609202,1.9441175,-1.372689,-2.6110055,-3.7866807,-0.16805749,2.9272935,-0.89210945,2.7422304,-0.5959188,-1.475565,-1.2040055,-2.5366197,4.098218,-1.2437906,1.8855972,-1.6067314
0.5973855,1.50155,2.8307586,0.1573643,2.0692127,-1.5834565,-2.8821554,-3.9595551,-0.3197267,3.1569207,-0.9962696,3.0132637,-0.75637895,-1.6606343,-1.4306293,-2.8801708,4.2683992,-1.4332385,2.0622866,-1.5161602
0.55041873,1.4381471,2.8711026,-0.062075436,1.7549798,-1.5670295,-2.5218782,-3.5774407,-0.102511816,3.1229477,-1.1433017,2.8836179,-0.7717073,-1.662281,-1.4096712,-2.8586335,4.137731,-1.549957,2.1161659,-1.2814236
-2.9361973,1.8225913,0.025827587,2.860896,2.73789,-2.8125849,-5.447398,2.9260159,3.8236291,4.3718967,-3.2652097,3.8803375,4.778958,-2.7197704,-5.0841928,2.7468271,2.0487964,-3.182876,3.9287825,-4.8215203
-2.5992255,0.9410747,0.27652135,2.8436275,1.5030518,-1.748003,-4.5704927,2.284566,3.1813745,3.4227066,-3.0861704,2.8025117,3.6591148,-2.67352,-4.754086,2.1857042,1.9166708,-3.068513,2.9118943,-4.3712497
-2.793463,1.1482257,-0.04294572,3.114627,1.8951566,-2.1631145,-5.0439353,2.5331092,3.4613492,3.837264,-3.3105526,3.020386,4.2370644,-2.7610314,-5.1370792,2.6600385,1.9299821,-3.4344177,3.1733074,-4.6494093
-2.9575398,1.2363948,-0.025105752,2.6390543,1.5741158,-2.0802536,-5.1767893,2.3771129,3.68145,4.1130986,-3.313962,3.0841002,4.1672773,-2.699238,-5.402427,2.7327647,1.6913314,-3.544057,3.210062,-4.724937
0.5318931,1.3523759,2.662469,0.1570802,1.7484224,-1.536366,-2.3965344,-3.2290528,-0.3044787,2.7536266,-0.9962826,2.7560096,-0.6626376,-1.4697585,-1.3690183,-2.7012773,3.8862588,-1.3996991,1.8903743,-1.1655544
0.5432294,1.5169806,3.0643387,-0.026437894,2.0087848,-1.617967,-2.8279707,-4.0480614,-0.07879785,3.379549,-1.1265228,3.062048,-0.90725136,-1.8164859,-1.4812499,-3.083604,4.464289,-1.6036162,2.2505636,-1.498319
1.7567024,0.85698354,2.2964468,3.6453943,1.8348348,-2.540768,-0.6019535,0.62849617,-1.4013693,1.4074811,-2.8496122,2.8989158,0.7283032,-3.5380359,-0.64917374,-3.989904,3.2137256,-1.6431627,1.9845829,-1.1889106
0.6143262,1.5577776,2.8087492,-0.029934615,2.054562,-1.5301926,-2.8041728,-3.820228,-0.15657085,3.0613275,-0.96651137,2.8377128,-0.716529,-1.5765232,-1.250666,-2.7490337,4.1180716,-1.3949357,1.9709098,-1.4770455
-0.92335,0.010839656,3.1284523,0.6054904,-1.3152676,-1.1023068,-1.085643,3.2868817,3.733354,2.7037177,-3.422677,2.870771,-0.06698735,-2.3612456,-2.698843,-1.2283316,3.5734847,-3.4438176,4.361218,-2.216182
-2.0819068,0.8001568,0.43077132,1.563414,0.6048224,-1.1583638,-3.5835252,1.4970534,2.7839875,2.8319929,-2.5341492,2.0367615,2.818396,-2.0262594,-3.849567,1.6851182,1.2784379,-2.72972,2.028375,-3.2752552
-0.9645151,0.118116744,1.5139202,-0.64046836,-1.0091571,-0.40459335,-1.5494679,0.4821946,1.8521326,2.2719517,-1.8732662,1.3983498,0.1595893,-1.1563289,-2.217739,-0.3269648,1.4262853,-2.1594062,1.58342,-1.1032102
0.11862438,0.7944939,2.0997136,0.633017,0.8855566,-1.4348981,-1.5128942,-1.7929653,-0.22744097,2.0461984,-1.2731309,2.4102957,-0.48883617,-1.4318166,-1.3563732,-2.4898794,2.8008568,-1.7983799,1.3638425,-0.41921288
1.126421,2.3461113,3.0293014,-1.9356146,1.6190652,-0.23211163,-2.0064752,-0.40899104,2.8070388,2.2656343,-2.2525253,2.8592045,0.026114821,-1.7820839,-0.61474717,-1.2290192,2.629198,0.3112597,3.2067022,-1.6850345
0.13555756,1.0345333,2.4444847,0.395956,1.4630721,-1.6568639,-2.032664,-2.5648837,-0.24694535,2.4646282,-1.4124241,2.8376737,-0.6542765,-1.5530605,-1.4730737,-2.8518019,3.3716156,-1.8027611,1.5484996,-0.65644395
-0.099049,1.3661207,3.0499732,0.2903297,1.520772,-1.8431625,-2.6932764,-4.006466,-0.07757581,3.5462172,-1.5750633,2.8532481,-1.1620945,-1.9189482,-1.832057,-3.1641212,4.49718,-2.3271077,2.0558884,-1.07985
0.36382592,1.5898223,3.0025935,-0.12791519,2.03535,-1.5856345,-3.0081587,-4.335578,-0.0652834,3.3886342,-0.9814809,2.9142208,-0.9695308,-1.5999975,-1.4947901,-2.8863642,4.436875,-1.6666946,2.221192,-1.6026889
-0.35590416,0.38159046,2.0608578,0.8976612,0.5615338,-1.62252,-1.1894428,-1.1678035,0.14312282,1.5134717,-2.2397337,2.9824133,-0.3087443,-1.5654937,-1.5041533,-3.069063,2.724449,-2.6451082,1.4248862,0.11312711
0.80838335,1.483101,2.6383836,0.00438416,2.0114508,-1.2368242,-2.4882524,-3.327084,-0.11132459,2.734332,-0.8416651,2.66877,-0.43201292,-1.4544256,-1.0111396,-2.4387074,3.753404,-0.98282045,1.8541856,-1.6107543
0.5668302,1.4442275,2.906631,-0.058095858,1.9879534,-1.5943182,-2.6761906,-3.7974346,-0.20093831,3.1219387,-1.0984313,3.0792964,-0.8439347,-1.6303736,-1.5409553,-3.0156708,4.3444796,-1.6207528,2.0451584,-1.2892821
-2.6791368,0.9931834,-0.06865446,2.361745,1.2300751,-1.6776786,-4.738598,2.2152176,3.2573361,3.8126695,-2.9648275,2.7199876,3.7847414,-2.4801316,-4.8128605,2.4540205,1.5107008,-3.3102345,2.7650237,-4.1868715
-2.6398358,1.0693825,-0.029298145,3.0211153,1.8499997,-2.0243485,-4.6571074,2.3265343,3.184305,3.5433407,-3.165562,2.8793194,3.9433103,-2.6190186,-4.7259426,2.3765416,1.7930557,-3.1512475,2.9651983,-4.3595986
2.7689657,0.8796603,2.4704351,6.6442733,4.0695004,-3.9585743,-1.5796809,3.353177,-1.8457701,2.0959632,-4.553466,3.7292652,3.17138,-6.1644454,-0.89020956,-3.8080735,4.8954535,-2.2353768,4.0537624,-3.8816943
0.33248413,1.2907677,2.70889,0.057317436,1.715388,-1.4644411,-2.5506263,-3.4887738,-0.1678895,2.8768897,-1.0990832,2.7499933,-0.75555396,-1.5695171,-1.3625038,-2.6794026,3.9202318,-1.4329003,1.8931624,-1.1946915
-1.1422286,0.0671041,1.180658,-0.23158182,-1.0331148,-0.1797187,-2.0805087,1.2178996,2.5113323,2.2949097,-2.1902995,1.298388,0.8545996,-1.4190387,-2.7159789,0.4745806,0.81005174,-2.2464306,1.6488467,-1.8613913
-0.6574139,0.4307593,1.9925609,0.61075807,0.34179354,-1.714698,-1.4684994,-1.8367567,0.22666767,2.1737642,-1.8261328,2.6695275,-0.66429466,-1.5685753,-1.8989156,-2.8150907,2.815658,-2.8566196,1.3307335,-0.18957388
0.5808151,1.534924,2.7310195,-0.10415241,2.0553207,-1.3543746,-2.7038584,-3.7055292,-0.1794071,2.7951674,-1.0309799,2.9794111,-0.5789589,-1.4858036,-1.2005674,-2.6611762,3.9238255,-1.1388857,1.9277842,-1.5059313
-1.7833762,0.40438655,0.72087014,1.1755639,0.10538125,-0.81122136,-3.1632595,1.3727474,2.538837,2.6270556,-2.3951974,1.6744251,2.3587446,-1.9465137,-3.4580917,1.3604333,1.0478314,-2.6302433,1.8026662,-2.9167342
0.5318424,1.4731731,2.849422,-0.08049677,2.017336,-1.4525145,-2.792724,-3.8226848,-0.1807823,3.0530849,-1.0493329,2.961944,-0.682723,-1.5407953,-1.378173,-2.747313,4.0986834,-1.38873,2.0437548,-1.4872077
0.4369948,0.7384118,1.9908657,1.2585309,1.0953526,-1.7609893,-1.2331312,-1.3204973,-0.6021283,1.8251239,-1.5783224,2.4083123,-0.28351665,-1.8037336,-1.0618722,-2.8440218,2.6991475,-1.6814755,1.4163274,-0.50551605
-2.7674303,1.3903625,0.109513305,2.7104287,2.1377382,-2.3539557,-4.9445763,2.4683108,3.4523404,3.8086169,-3.0427344,3.2707896,4.233656,-2.5836143,-4.8601894,2.4652023,1.8303335,-3.0271943,3.312189,-4.381661
