0,1,2,3,4,5,6,7,8,9
0.62909764,4.4931426,-6.9674335,-5.461366,-3.1974578,4.174401,-5.6858125,-5.3226037,-2.3173964,-4.3052506
0.34710988,4.746177,-7.0074286,-5.7013063,-3.323882,4.5006547,-5.8961935,-5.531512,-2.6878715,-4.191844
0.6514435,4.3309646,-6.837625,-5.07937,-3.1969357,3.9400964,-5.4772706,-5.0363493,-2.3676527,-4.3045774
0.9329015,3.6239588,-3.7271628,-1.7913406,-2.6427133,0.9979789,-2.5581884,-0.942443,3.622656,-0.8560004
0.8237195,4.3782535,-3.2174768,-1.886936,-2.172194,0.96227854,-3.8454924,-0.37122184,3.179966,-0.63969505
0.6833998,4.0886183,-6.8269215,-5.5637608,-3.4328263,4.183744,-5.444144,-5.0599213,-2.1585739,-3.7668862
0.8092915,5.037568,-7.916508,-5.9534388,-3.6463594,4.5627694,-6.224564,-5.7664537,-2.7813485,-4.777864
0.45208898,4.2234807,-6.8132358,-6.165845,-3.0096831,4.7095165,-5.8833327,-5.3204327,-2.10169,-3.7667618
-5.910202,5.1574025,-2.71243,-3.797639,-6.363215,2.0407553,-2.0063841,-3.9486477,4.3989153,-3.8538823
-5.1415915,4.8996587,-2.1961446,-3.2474873,-5.407767,1.7251995,-2.0999513,-3.37727,3.9527209,-3.504848
-5.827923,5.141748,-2.32301,-3.6024265,-6.067835,2.0937765,-2.1586676,-3.8770134,3.8537967,-3.6845803
-5.9152217,5.2967844,-2.2999687,-3.7170777,-6.204808,2.041837,-2.1693425,-3.877963,3.903095,-3.904252
-4.7970705,4.2472534,-0.7609508,-2.9260726,-4.363767,2.3762224,-2.5154123,-2.4761322,1.771147,-2.41956
-0.7970605,2.6922183,-4.527231,-4.991349,-5.6603007,3.7478309,-1.4100196,-2.0445273,0.99653095,0.685375
-5.2665143,4.6716437,-2.5331092,-3.4974513,-5.7263646,1.6878082,-1.8287151,-3.5607667,4.1096973,-3.464325
-5.39807,5.0161967,-2.4641747,-3.4016337,-6.014296,1.91678,-1.7887846,-3.7342188,4.1723385,-3.8313608
-5.3302093,4.916648,-2.3452601,-3.4293644,-5.611622,1.9880698,-2.1394815,-3.551472,4.1618233,-3.7073646
0.88060313,3.9081368,-6.612949,-4.159587,-2.8636837,3.261785,-4.847774,-4.5371704,-2.065116,-4.611448
0.48714784,4.247775,-6.7951713,-5.4735155,-3.0689075,4.080926,-5.836369,-5.3146067,-2.4154055,-3.9582071
0.70275795,4.5679765,-7.047278,-5.380021,-3.2378764,4.117749,-5.855732,-5.1280437,-2.5511515,-4.3370066
0.3269181,4.7182326,-7.238173,-5.6893396,-3.1808004,4.35072,-5.9770226,-5.653175,-2.5623872,-4.301871
-5.11539,5.208532,-1.9013754,-3.0786064,-5.4061074,2.1272564,-2.0465288,-3.4847057,3.768347,-3.6144285
-5.9579825,5.4996157,-2.3714433,-3.505178,-6.0794787,2.0299394,-2.365705,-3.955716,4.100585,-3.8938146
-1.9833279,3.6406398,-1.055742,-2.2362995,-2.7640412,1.8714294,-3.290164,-1.5025648,2.8903706,-0.42969143
-5.310746,4.866201,-2.3823302,-3.397595,-5.669089,1.9985778,-1.798701,-3.610885,3.9341211,-3.4220762
-0.1494191,4.201321,-3.5306702,-6.3534646,-4.927581,4.5360208,-4.365778,-1.3300002,-1.7168849,-2.1047258
0.25223884,3.9635515,-6.1501994,-5.4811754,-2.7459092,4.130457,-5.4733815,-5.029792,-2.214865,-3.5622377
-0.8110864,1.9473408,-2.4106026,-3.6476557,-2.171907,3.2109203,-2.7141523,-2.050531,-0.62469274,-0.16369823
-4.932457,4.356586,-1.1342384,-2.9287941,-4.4782233,1.9526539,-2.334484,-2.99303,2.515453,-2.6840177
-1.0525743,2.9645894,-4.8810983,-5.5188293,-6.2513137,4.1669297,-1.2357349,-2.3035154,0.9229523,0.4497838
-5.409223,5.1693425,-1.442449,-3.2645802,-5.13058,2.3577971,-2.656058,-3.3142066,3.3229945,-3.387589
