0,1,2,3,4,5,6,7,8,9
5.003839,5.295659,4.3183975,-2.4793549,2.9528913,3.76884,0.91804373,6.360214,-0.69236237,-1.9446293
4.799542,4.9709797,4.1501007,-2.3159726,2.6801353,3.57074,0.80499566,5.974502,-0.41220286,-1.9092969
4.573285,4.8993063,3.879807,-2.277851,2.5467,3.451251,0.7325783,5.640568,-0.51484084,-1.7293437
-0.5463638,2.727712,3.1282496,-2.7863429,2.9906144,1.6231676,3.4042058,0.32455027,0.22748864,-0.78789824
-0.5117825,3.1909697,4.2369633,-3.1635349,3.285223,1.7478671,4.341628,0.33801106,0.64752907,-1.2683867
4.4714265,4.8256793,3.819086,-2.3215487,2.4460378,3.369592,0.7320749,5.6228027,-0.31880102,-1.8842347
4.8758073,5.369175,4.2036777,-2.5111914,2.880909,3.7308347,0.7542799,6.173441,-0.78752935,-1.8132857
4.6106744,4.5976553,4.0350513,-2.2966893,2.524435,3.2755103,0.8938757,5.5616617,-0.27075854,-1.9693332
-0.46834487,1.8745033,1.7431167,-3.6464117,2.4557457,3.6749647,1.8208368,2.725503,3.9839904,-4.539439
-0.27498633,1.8515136,1.9915732,-3.4618938,2.3301427,3.3609645,1.9666101,2.6159616,3.8163662,-4.1920753
-0.4487843,1.9282192,2.0464838,-3.7792602,2.5677924,3.6600597,1.9125762,2.891962,4.2672,-4.6021295
-0.46307236,1.840783,2.0833716,-3.8671553,2.6908066,3.8772757,2.0078394,2.9060874,4.357724,-4.775927
0.6576083,1.289904,2.6359448,-2.1220615,1.2692157,2.190353,2.1465344,2.0301213,3.3605633,-3.0055969
0.66482604,1.8985717,0.70979476,-1.5545058,0.90559614,1.9407806,-0.5068679,2.045529,1.2125715,-2.049569
-0.29442012,1.7612222,1.7640395,-3.4885256,2.3339772,3.4450884,1.8495754,2.6439037,3.8351865,-4.271539
-0.41182142,1.9682424,1.9955922,-4.1467543,2.8211899,4.034284,2.0892038,3.005905,4.4358582,-4.845556
-0.65908104,1.900569,2.1293108,-3.774141,2.8371863,3.643929,2.0112238,2.6996922,4.256091,-4.6032014
