0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-2.0688272,-2.329712,2.6175094,-1.2583572,3.849618,2.385579,-2.7282658,1.6423867,-1.8644085,1.6903493,-3.5394318,4.753955,-4.297883,2.575838,-1.4503212,3.1047363,-2.7992918,3.1476047,-4.5669026,-0.27375087
-2.1665788,-1.8936357,2.340209,-1.1336688,3.4077225,1.9818704,-2.50949,1.2637424,-1.5935932,1.7621633,-3.3218489,4.1499004,-3.897973,2.2826943,-1.3201668,2.7742658,-2.513087,3.0267751,-4.0965967,0.20352654
-2.203013,-2.1085165,2.741824,-1.0335447,3.81845,2.5073943,-2.4900475,1.4177204,-1.859303,1.6756866,-3.1893725,4.2776184,-4.1991024,2.4345045,-1.2656915,2.6350617,-2.4615638,3.2638943,-4.397992,-0.26413357
-0.58966196,-1.9761939,0.9106134,-1.7080683,0.08795282,0.93683946,-1.7217445,2.5872736,-1.130691,0.70148575,-1.1431761,1.3230833,-0.6154884,1.9924345,-0.013703715,2.3535209,-1.3462447,0.8185686,-1.4660853,-3.620447
-0.7158469,-2.996014,0.8479253,-2.5213842,-0.047201514,1.3162675,-3.2600923,4.046767,-1.5125537,1.1947427,-1.4615282,2.2207184,-1.2642065,2.6391265,-1.2543932,3.5587218,-1.5806999,0.30366427,-2.2791052,-4.3691707
-2.4672203,-1.7254403,2.6579704,-1.6747177,3.5204344,2.408782,-2.4813573,1.8245943,-1.8490467,1.8209413,-3.8186555,4.395856,-3.7632723,2.8475556,-1.3581015,2.8195238,-2.4863336,3.1008809,-4.3848248,-0.4896896
-2.1874883,-2.308806,2.6296554,-1.1530907,4.0295887,2.5997567,-2.7255259,1.6623387,-1.8352343,1.6354238,-3.491518,4.646677,-4.3756056,2.7207484,-1.4975882,3.010465,-2.6514804,3.2101605,-4.617179,-0.37641212
-2.3364472,-1.581121,1.8582838,-1.6476897,2.593696,1.6190954,-2.4011135,1.7381859,-1.4629481,2.1320539,-3.605997,4.0934467,-3.3000083,2.8472323,-1.260458,2.7978091,-2.5054357,2.7158368,-3.6944647,0.27864173
-4.1927648,-4.6215057,4.5895686,-4.897295,-4.069719,-2.1397438,-1.0799026,1.029105,-2.2328174,2.6049187,-4.5965543,3.540644,-1.7086885,3.5992782,4.5851154,4.4910383,-3.7118833,5.2521863,-2.4271803,-4.9128537
-3.069879,-3.603154,3.3707497,-3.5400338,-2.9534135,-1.5566254,-1.159189,1.0658501,-1.5865312,1.9764776,-3.4266677,2.6482573,-1.205382,2.3875785,3.1727843,3.325308,-2.8062813,3.8022263,-1.9911644,-3.6887453
-3.3783717,-3.852613,3.760137,-3.7367978,-3.2792802,-1.7663941,-1.1257493,0.9629552,-1.5954788,2.0437777,-3.6203396,2.9654422,-1.4046865,2.611671,3.3465452,3.3125274,-3.0864608,4.2376103,-2.1294153,-3.6394508
-3.896418,-4.5184956,4.2798023,-4.3122234,-3.7755456,-2.0765696,-1.1982336,0.9966817,-1.89134,2.3828835,-4.2475696,3.3237708,-1.6424317,3.0037317,4.019067,3.9911308,-3.5911536,4.7992764,-2.3028603,-4.2893004
-2.584547,-2.5334823,2.3810978,-2.7055416,-2.313797,-1.076249,-1.3038241,1.0258334,-1.3392802,2.091947,-2.875318,2.4702754,-0.98876476,1.5466053,1.5398924,2.1249788,-2.5868154,3.0244594,-1.7012475,-1.5449251
-3.268966,-0.8493897,3.4928148,-3.3898034,-0.41498452,1.0276749,-0.6994894,1.5770731,-1.2917911,3.015194,-3.580224,3.4245017,-1.104898,4.6777997,1.7994108,2.1530833,-2.721082,3.3483896,-2.9618573,-0.8092554
-3.7736611,-3.8298702,4.261611,-4.228229,-3.252265,-1.6411812,-0.967752,1.1478417,-1.7841439,2.4416158,-3.8191557,3.0650296,-1.4439158,3.319131,4.040561,3.6830094,-3.1309009,4.463518,-2.2179923,-3.9671788
-3.625997,-4.113119,4.1822968,-4.1642222,-3.483601,-1.7810302,-1.0027323,1.1184807,-1.8747411,2.3137524,-3.9025536,3.091062,-1.5703108,3.0684743,3.9094348,3.818562,-3.3060162,4.608484,-2.2133448,-4.11172
-3.7236142,-4.2810583,4.0904713,-4.1853266,-3.6088781,-1.9377801,-1.1388459,1.0088495,-1.8464617,2.2026272,-4.072021,3.193581,-1.4919128,2.8735256,3.7595043,3.7303371,-3.4127753,4.566446,-2.2582777,-4.1101284
-1.8623052,-2.3758903,2.8003592,-0.60796833,4.394304,2.9929283,-2.6714451,1.2273262,-1.849026,1.4101048,-2.8128147,4.1177235,-4.497345,2.360025,-1.5273063,2.75457,-2.0535963,3.0817497,-4.511084,-0.44860363
-2.288561,-2.0622492,2.3518062,-1.2451679,3.7809074,2.3779216,-2.6599076,1.6108325,-1.7390585,1.6796463,-3.594884,4.51357,-4.1711397,2.5430002,-1.5304874,2.99406,-2.4892037,3.038686,-4.3761854,-0.27892977
-1.9229412,-2.264801,2.4680996,-1.0611178,3.830703,2.4284227,-2.6657283,1.5570767,-1.7877393,1.6208184,-3.4739618,4.2695746,-4.2741523,2.4586563,-1.4886698,3.0073075,-2.4371994,3.0301492,-4.3941956,-0.40896583
-2.1219826,-2.316584,2.7751255,-1.0465826,3.9940295,2.3295255,-2.9566388,1.4907897,-1.684591,1.5094504,-3.4806995,4.5698414,-4.5676227,2.2166216,-1.6246307,3.046519,-2.4829578,3.2715044,-4.6098275,-0.11198376
-3.5055068,-4.150234,3.8573537,-3.9382868,-3.5277867,-1.8654547,-1.1591202,1.0612462,-1.8861103,2.0978441,-3.8493698,3.1056507,-1.5220969,2.7017658,3.599392,3.6864667,-3.2604315,4.459107,-2.1455345,-4.0356746
-4.247848,-4.815488,4.683177,-4.777109,-4.135194,-2.1649864,-1.1778393,1.1380805,-2.3049347,2.5539653,-4.5966916,3.6779501,-1.7472773,3.439491,4.368966,4.311019,-3.820405,5.265943,-2.5051556,-4.845856
-1.498601,-1.7948842,1.0811378,-2.4410195,-1.2848197,-0.3232386,-2.027716,2.4103189,-1.3410985,1.6200653,-1.5545318,1.8927807,-0.555353,1.2815595,0.47559565,2.5457513,-1.749692,1.457621,-1.4505758,-2.1566331
-3.5973604,-3.9441273,4.0159035,-4.158144,-3.3232675,-1.6962965,-1.1032469,1.029069,-1.7904353,2.1800535,-3.775638,3.0387254,-1.4495496,3.0671098,3.8860373,3.6814518,-3.1016881,4.523605,-2.3097,-4.108556
-2.001225,-1.666624,1.7910042,-1.9676598,2.1916761,1.7971418,-2.3258386,2.2122247,-1.3057652,1.7637658,-3.4125795,3.747127,-2.6320028,2.8328087,-1.1312101,2.5184484,-2.289343,2.3440254,-3.5035558,-0.5588085
-2.238404,-1.6929674,2.025972,-1.5639291,2.7290437,1.6173375,-2.3358493,1.5653722,-1.4449956,2.0288072,-3.6199346,4.0124245,-3.353157,2.6943672,-1.3493706,2.7648544,-2.6440022,2.84854,-3.827951,0.21483064
-2.7492788,-1.422508,2.0520537,-2.9989874,0.5300804,0.39478755,-1.8366518,1.9421213,-1.5729632,3.244933,-4.407131,3.7387335,-1.7108119,3.263401,-0.51100636,2.80828,-3.1913261,3.1199234,-3.0239162,0.6248116
-2.6461596,-2.8203413,2.6077673,-2.7673194,-2.4970217,-1.4043703,-1.2836574,1.0968757,-1.4074557,1.7933862,-2.844173,2.486186,-1.0000032,1.4475067,1.9900789,2.2162087,-2.6913965,3.0184963,-1.6977446,-2.0535405
-3.807247,-0.8234834,4.2261143,-3.887382,-0.538865,1.0229353,-0.43603668,1.5825876,-1.661766,3.404533,-4.00328,3.8752656,-1.2873862,5.468372,2.233515,2.5675068,-2.8402123,4.065672,-3.2264743,-1.0663558
-2.777822,-3.3762631,2.8470254,-3.0090113,-3.0099936,-1.7052729,-1.1438938,0.7874796,-1.6175493,1.8971252,-3.2726986,2.5516691,-1.1886554,1.7451687,2.2775702,2.906095,-2.8632052,3.5925734,-1.7107861,-2.8252032
-3.6655583,-4.2014747,3.7727022,-3.920199,-3.6998909,-2.0039537,-1.1576724,0.83732176,-1.9001124,2.2097456,-3.9992023,3.258972,-1.5679917,2.4344234,3.0900357,3.458755,-3.387211,4.46359,-2.130693,-3.4871476
